"systemSku","customField1","customField2"
"N833117-001159","NITRO TEAM SNOWBOARD 2025","NITRO TEAM SNOWBOARD 2025"
"N833118-001157","NITRO TEAM WIDE SNOWBOARD 2025","NITRO TEAM WIDE SNOWBOARD 2025"
"N833118-001162","NITRO TEAM WIDE SNOWBOARD 2025","NITRO TEAM WIDE SNOWBOARD 2025"
"N833118-001159","NITRO TEAM WIDE SNOWBOARD 2025","NITRO TEAM WIDE SNOWBOARD 2025"
"N833117-001157","NITRO TEAM SNOWBOARD 2025","NITRO TEAM SNOWBOARD 2025"
"N833117-001155","NITRO TEAM SNOWBOARD 2025","NITRO TEAM SNOWBOARD 2025"
"N833124-001149","NITRO T1 SNOWBOARD 2025","NITRO T1 SNOWBOARD 2025"
"N833124-001155","NITRO T1 SNOWBOARD 2025","NITRO T1 SNOWBOARD 2025"
"N836515-001S/M","NITRO WOMENS IVY SNOWBOARD BINDINGS ULTRA BLACK 2025","NITRO WOMENS IVY SNOWBOARD BINDINGS ULTRA BLACK 2025"
"N833125-001158","NITRO T1 WIDE SNOWBOARD 2025","NITRO T1 WIDE SNOWBOARD 2025"
"N836515-002S/M","NITRO WOMENS IVY SNOWBOARD BINDINGS OFF-WHITE 2025","NITRO WOMENS IVY SNOWBOARD BINDINGS OFF-WHITE 2025"
"N833107-001149","NITRO FINTWIN SNOWBOARD 2025","NITRO FINTWIN SNOWBOARD 2025"
"N848680-0047.5","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N833125-001155","NITRO T1 WIDE SNOWBOARD 2025","NITRO T1 WIDE SNOWBOARD 2025"
"N833124-001152","NITRO T1 SNOWBOARD 2025","NITRO T1 SNOWBOARD 2025"
"N848680-0049","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N848680-0048","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N848658-0016.5","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848680-0049.5","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N848680-0047","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N848658-0018","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848680-0048.5","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025","NITRO WOMENS CROWN BOA SNOWBOARD BOOTS GREY 2025"
"N848658-0019.5","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848658-0017","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848658-00110","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848658-0017.5","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N848658-0019","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N833130-001149","NITRO WOMENS DROP SNOWBOARD 2025","NITRO WOMENS DROP SNOWBOARD 2025"
"N833130-001146","NITRO WOMENS DROP SNOWBOARD 2025","NITRO WOMENS DROP SNOWBOARD 2025"
"N848658-0018.5","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025","NITRO WOMENS SCALA BOA SNOWBOARD BOOTS BLACK/PURPLE 2025"
"N833130-001152","NITRO WOMENS DROP SNOWBOARD 2025","NITRO WOMENS DROP SNOWBOARD 2025"
"N833132-001153","NITRO WOMENS FATE SNOWBOARD 2025","NITRO WOMENS FATE SNOWBOARD 2025"
"N833132-001150","NITRO WOMENS FATE SNOWBOARD 2025","NITRO WOMENS FATE SNOWBOARD 2025"
"N833132-001147","NITRO WOMENS FATE SNOWBOARD 2025","NITRO WOMENS FATE SNOWBOARD 2025"
"N833139-001138","NITRO FUTURE TEAM SNOWBOARD 2025","NITRO FUTURE TEAM SNOWBOARD 2025"
"N833131-001148","NITRO WOMENS KARMA SNOWBOARD 2025","NITRO WOMENS KARMA SNOWBOARD 2025"
"N833131-001152","NITRO WOMENS KARMA SNOWBOARD 2025","NITRO WOMENS KARMA SNOWBOARD 2025"
"N833140-001138","NITRO ARIAL SNOWBOARD 2025","NITRO ARIAL SNOWBOARD 2025"
"N833139-001142","NITRO FUTURE TEAM SNOWBOARD 2025","NITRO FUTURE TEAM SNOWBOARD 2025"
"N833131-001144","NITRO WOMENS KARMA SNOWBOARD 2025","NITRO WOMENS KARMA SNOWBOARD 2025"
"N833142-001096","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025"
"N833142-001116","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025"
"N833142-001126","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025"
"N833142-001121","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025"
"N833142-001106","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025","NITRO RIPPER KIDS X VOLCOM SNOWBOARD 2025"
"N833124-001158","NITRO T1 SNOWBOARD 2025","NITRO T1 SNOWBOARD 2025"
"NF0A85CWPIB10OS000","THE NORTH FACE BIG BOX BEANIE FOREST OLIVE 2025","THE NORTH FACE BIG BOX BEANIE FOREST OLIVE 2025"
"NF0A85CWLK510OS000","THE NORTH FACE BIG BOX BEANIE KHAKI STONE 2025","TNF BIG BOX BEANIE KHAKI STONE 2025"
"NF0A85CW1NO10OS000","2025 TNF BIG BOX BEANIE MIDNIGHT PETROL",""
"NF0A3FNT17310OS000","THE NORTH FACE DOCK WORKER RECYCLED BEANIE UTILITY BROWN 2025","THE NORTH FACE DOCK WORKER RECYCLED BEANIE UTILITY BROWN 2025"
"NF0A85CW1OD10OS000","2025 TNF BIG BOX BEANIE NETTLE",""
"NF0A3FNTDYX10OS000","THE NORTH FACE DOCK WORKER RECYCLED BEANIE LIGHT GREY HEATHER 2025","THE NORTH FACE DOCK WORKER RECYCLED BEANIE LIGHT GREY HEATHER 2025"
"NF0A87YG4XO1XXLREG","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025"
"NF0A87YG4XO100MREG","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025"
"NF0A3FNTQLI10OS000","TNF DOCK WORKER RECYCLED BEANIE WHITE DUNE 2025","TNF DOCK WORKER RECYCLED BEANIE WHITE DUNE 2025"
"NF0A87YG4XO100SREG","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025"
"NF0A87YG4XO100LREG","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025"
"NF0A87YG4XO10XLREG","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025","THE NORTH FACE DRAGLINE BIB BLACK/SMOKEY BROWN 2025"
"NF0A5ABU4H010XSREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A5ABU4H0100LREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A5ABU4H0100MREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A5ABU4H010XLREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A5ABU4H01XXLREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A3FJXJK310OSREG","2025 TNF LOGO BOX CUFFED BEANIE BLACK",""
"NF0A5ABU4H0100SREG","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025","THE NORTH FACE FREEDOM INSULATED PANT BLACK-NPF 2025"
"NF0A7WTM39O100MREG","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025"
"NF0A7WTM39O100LREG","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025"
"NF0A3FJX92O10OSREG","2025 TNF LOGO BOX CUFFED BEANIE LT GRY HTHR/30 YEAR HIM",""
"NF0A7WTM39O100SREG","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025"
"NF0A7WTM39O1XXLREG","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025","THE NORTH FACE FD PRO 160 TIGHT BLACK CAMO PRINT 2025"
